NOMINATION_ID,GT_SAQ_MILESTONE,GT_SAQ_MILESTONE_CATEGORY
MOB-EXP19-1880,CLEAN A/RTB,RTB'D YR 2021
MIT-EXP20-0028,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-1650,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-0650,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-1548,CLEAN A/RTB,RTB'D YR 2021
WTT-EXP19-0890,CLEAN A/RTB,RTB'D YR 2021
WTT-EXP19-0271,CLEAN A/RTB,RTB'D YR 2021
3GS-EXP20-0417,CLEAN A/RTB,RTB'D YR 2021
3GS-EXP20-1025,CLEAN A/RTB,RTB'D YR 2021
3GS-EXP20-2130,CLEAN A/RTB,RTB'D YR 2021
3GS-EXP20-2491,CLEAN A/RTB,RTB'D YR 2021
3GS-EXP20-1398,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-1549,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-1551,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-0400,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-3401,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-0404,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-1895,CLEAN A/RTB,RTB'D YR 2021
3GS-EXP20-1404,CLEAN A/RTB,RTB'D YR 2021
3GS-EXP20-2757,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-1651,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-1002,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-2469,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-2344,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP20-0218,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-1566,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-1596,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-2921,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-1552,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-1007,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-1078,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-0684,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-2186,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-2555,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-1633,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP20-1203,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-1634,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-1008,CLEAN A/RTB,RTB'D YR 2021
MIT-EXP20-0030,CLEAN A/RTB,RTB'D YR 2021
3GS-EXP20-0425,CLEAN A/RTB,RTB'D YR 2021
3GS-EXP20-2138,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-1900,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-1597,CLEAN A/RTB,RTB'D YR 2021
MOB-TRFS20-0038,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-3805,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-3662,CLEAN A/RTB,RTB'D YR 2021
